도서명,저자,카테고리,내용
긴긴밤,루리,"성장, 가족·우정, 철학","멸종 위기에 처한 흰바위코뿔소 노든과 알에서 깨어난 아기 펭귄 치쿠가 함께 바다를 찾아가는 여정을 그린 동화. 서로 다른 두 생명이 가족이 되어 가는 모습을 통해 생명의 존엄과 연대, 자아 정체성의 의미를 그려 낸 제21회 문학동네어린이문학상 대상 수상작이다."
자전거 도둑,박완서,"철학, 사회·정의",시골에서 상경한 열여섯 살 소년 수남이가 자전거 도둑이라는 누명을 쓰고 도덕적 갈등을 겪는 이야기. 1970년대 산업화 시대 도시의 비정함과 양심 사이에서 흔들리는 소년의 내면을 섬세하게 그려 낸 박완서의 대표 단편이다.
마당을 나온 암탉,황선미,"성장, 가족·우정, 철학","알 낳는 닭으로만 살아가던 잎싹이 양계장을 탈출해 청둥오리의 알을 품으며 진짜 어머니가 되는 과정을 그린 동화. 자유와 꿈을 향한 의지, 자기 길을 찾아가는 모성애를 통해 삶의 본질에 대한 질문을 던지는 한국 창작 동화의 대표작이다."
열두 살에 부자가 된 키라,보도 섀퍼,"경제, 성장",가난한 가정 형편을 걱정하던 열두 살 키라가 신비한 흰둥이 강아지를 만나 돈에 대한 올바른 생각과 실천 방법을 배워 가는 이야기. 어릴 때부터 익혀야 할 경제 관념과 자기 계발의 기초를 흥미로운 동화 형식으로 풀어 낸 세계적 베스트셀러이다.
어린 왕자,생텍쥐페리,"가족·우정, 철학","사막에 불시착한 비행사가 만난 작은 별의 어린 왕자와 나누는 대화를 통해 어른이 잊고 사는 순수와 관계의 의미를 되짚는 철학적 동화. ""정말 중요한 것은 눈에 보이지 않는다""는 메시지로 전 세계 독자의 마음을 사로잡은 고전이다."
초정리 편지,배유안,"역사, 가족·우정","한글 창제 직전, 청주 초정리에 머물던 세종 임금과 한 평민 소녀가 한글로 편지를 주고받으며 우정을 나누는 이야기. 한글이 어떻게 백성의 삶 속에 자리 잡게 되었는지를 역사적 상상력으로 풀어 낸 어린이 역사 동화이다."
괭이부리말 아이들,김중미,"사회·정의, 가족·우정, 공감·다양성","인천의 빈민가 괭이부리말을 배경으로, 가난과 결손 가정 속에서도 서로 의지하며 살아가는 아이들의 이야기. 사회적 소외와 빈곤의 현실을 따뜻한 시선으로 그려 내며 공동체의 의미를 일깨우는 작품이다."
샬롯의 거미줄,E.B. 화이트,"가족·우정, 과학·자연, 용기·리더십","도살될 위기에 처한 아기 돼지 윌버를 살리기 위해 거미 샬롯이 거미줄로 글자를 짜는 헌신적 우정의 이야기. 생명의 경이로움과 진정한 우정, 희생의 의미를 따뜻하게 들려주는 세계적 동화 고전이다."
5번 레인,은소홀,"성장, 용기·리더십",수영 선수 강나루가 자신의 라이벌이자 친구인 김초희와의 경쟁 속에서 자기 자신을 극복해 나가는 청소년 성장 소설. 스포츠 정신과 청소년기의 자기 발견을 섬세하게 담아 낸 작품이다.
우리들의 일그러진 영웅,이문열,"사회·정의, 철학",시골 초등학교로 전학 간 한병태가 교실의 절대 권력자 엄석대와 부딪치며 군중 심리와 권력 구조를 깨닫게 되는 이야기. 한국 사회의 권위주의와 민주주의의 본질을 우화적으로 그려 낸 이문열의 대표 중편이다.
소나기,황순원,"예술, 가족·우정",시골 소년과 도시에서 온 소녀가 짧은 만남 끝에 이별하는 한여름의 이야기. 서정적 문체로 첫사랑의 풋풋함과 이별의 아픔을 그려 낸 한국 단편 문학의 백미이다.
비밀의 화원,F.H. 버넷,"과학·자연, 성장",부모를 잃고 영국 요크셔의 외삼촌 집에 맡겨진 메리가 잠겨 있던 비밀의 정원을 발견하며 마음의 상처를 치유해 가는 이야기. 자연의 치유력과 긍정적 사고가 어떻게 사람을 변화시키는지를 보여 주는 고전이다.
아몬드,손원평,"공감·다양성, 가족·우정",감정을 잘 느끼지 못하는 알렉시티미아를 가진 소년 윤재가 친구 곤이를 만나 감정과 관계를 배워 가는 청소년 소설. 타인 공감의 의미와 인간관계의 회복을 다룬 손원평의 베스트셀러이다.
창가의 토토,구로야나기 테츠코,"공감·다양성, 성장",일반 학교에서 적응하지 못해 도모에 학원으로 옮긴 토토가 따뜻한 교장 선생님과 자유로운 교육 속에서 자신의 개성을 꽃피워 가는 자전적 이야기. 진정한 교육이란 무엇인지를 묻는 일본의 국민 도서이다.
삼국유사,일연,"역사, 철학",고려 시대 승려 일연이 신라·고구려·백제 삼국과 그 이전 시기의 역사·전설·민속·종교를 모아 엮은 책. 단군 신화부터 향가까지 우리 민족의 역사적 뿌리와 정신적 유산이 담겨 있는 한국 고전이다.
종의 기원 (어린이용),찰스 다윈,"과학·자연, 철학",다윈이 비글호 항해와 관찰을 통해 세운 진화론의 핵심을 어린이 눈높이에 맞게 풀어 낸 책. 자연 선택과 적응이라는 개념을 통해 생명이 어떻게 다양해졌는지 과학적 사고로 안내한다.
목민심서 (어린이용),정약용,"사회·정의, 용기·리더십, 철학","다산 정약용이 유배지에서 지방관이 가져야 할 마음가짐과 행정 윤리를 정리한 책의 어린이 풀어 쓰기. 백성을 사랑하는 애민 정신과 공직자의 청렴, 책임감을 일깨우는 고전이다."
열하일기 (어린이용),박지원,"역사, 철학, 사회·정의","1780년 박지원이 청나라 사신단을 따라 열하에 다녀온 여정을 기록한 기행문. 실학자의 눈으로 본 청나라의 문물과 사상을 통해 실학 사상과 비판적 지성, 북학론의 핵심을 만날 수 있다."
톨스토이 단편선,레프 톨스토이,"철학, 공감·다양성","톨스토이가 말년에 민중을 위해 쓴 짧은 이야기들을 모은 단편집. 「사람은 무엇으로 사는가」, 「바보 이반」 등 보편적 박애와 삶의 본질에 대한 질문을 담은 작품들이 수록되어 있다."
이상한 나라의 앨리스,루이스 캐럴,"상상력, 예술","토끼굴 속으로 떨어진 앨리스가 이상한 나라에서 만나는 기상천외한 인물들과의 모험을 그린 환상 동화. 상상력의 극대화와 언어 유희, 고정관념을 깨는 유쾌한 발상으로 세계적 사랑을 받은 작품이다."
